Nome,Tipo,Funil,Link
#parceiros-investimento-serviços,Canvas,parceiros-investimento-serviços,https://app.slack.com/docs/TDLTVAWQ6/F05H8GJEAVB
#parceiros-novosprojetos,Canvas,parceiros-novosprojetos,https://app.slack.com/docs/TDLTVAWQ6/F06J1MQV3NV
#plano-de-ação-atendimento-q3-2024,Canvas,plano-de-ação-atendimento-q3-2024,https://app.slack.com/docs/TDLTVAWQ6/F07TL3ZR69F
#pool-jurere,Canvas,pool-jurere,https://app.slack.com/docs/TDLTVAWQ6/F05R03LDZ6H
#prediçoes-de-faturamento,Canvas,prediçoes-de-faturamento,https://app.slack.com/docs/TDLTVAWQ6/F05KN8D6Y5A
#private,Canvas,private,https://app.slack.com/docs/TDLTVAWQ6/F083H0AMUA2
#projeto-implantação-decolar,Canvas,projeto-implantação-decolar,https://app.slack.com/docs/TDLTVAWQ6/F05RBEA40N8
#prospecção-terrenos,Canvas,prospecção-terrenos,https://app.slack.com/docs/TDLTVAWQ6/F05GTDTK56Z
#pré-vendas-szs,Canvas,pré-vendas-szs,https://app.slack.com/docs/TDLTVAWQ6/F062H005GMD
#random,Canvas,random,https://app.slack.com/docs/TDLTVAWQ6/F05LRSTLBU1
#realocações-devolução-crédito,Canvas,realocações-devolução-crédito,https://app.slack.com/docs/TDLTVAWQ6/F06TRFMTL8H
#resposta-avaliaçao-negativa,Canvas,resposta-avaliaçao-negativa,https://app.slack.com/docs/TDLTVAWQ6/F05JH33EHAP
#rm-onboarding,Canvas,rm-onboarding,https://app.slack.com/docs/TDLTVAWQ6/F05JERRQ7UK
#sapron-backend-logs,Canvas,sapron-backend-logs,https://app.slack.com/docs/TDLTVAWQ6/F05HT6W5Y1W
#seazone-investimentos,Canvas,seazone-investimentos,https://app.slack.com/docs/TDLTVAWQ6/F05P6VD6D8B
#solicitação-troca-de-código-de-imóvel-ou-prop,Canvas,solicitação-troca-de-código-de-imóvel-ou-prop,https://app.slack.com/docs/TDLTVAWQ6/F07Q74YN44D
#suporte-anuncios,Canvas,suporte-anuncios,https://app.slack.com/docs/TDLTVAWQ6/F06L7TVEAQY
#suporte-atendimento,Canvas,suporte-atendimento,https://app.slack.com/docs/TDLTVAWQ6/F06RMDZ9Y74
#suporte-avaliações-de-hóspedes,Canvas,suporte-avaliações-de-hóspedes,https://app.slack.com/docs/TDLTVAWQ6/F07J5N6EL1K
#suporte-bizops,Canvas,suporte-bizops,https://app.slack.com/docs/TDLTVAWQ6/F05H7UQ9Y7N
#suporte-bu-comercial,Canvas,suporte-bu-comercial,https://app.slack.com/docs/TDLTVAWQ6/F05N0NUSU1K
#suporte-bu-hospedagem,Canvas,suporte-bu-hospedagem,https://app.slack.com/docs/TDLTVAWQ6/F08AJ4538LV
#suporte-bu-reservas,Canvas,suporte-bu-reservas,https://app.slack.com/docs/TDLTVAWQ6/F05JC08TGMN
#suporte-comercial,Canvas,suporte-comercial,https://app.slack.com/docs/TDLTVAWQ6/F07ME5SASUR
#suporte-cs-investimentos,Canvas,suporte-cs-investimentos,https://app.slack.com/docs/TDLTVAWQ6/F07LQ6RMT0X
